CONTEST_CODE;GROUP_CODE;GROUP_VALUE;GET_CALC_METHOD;GET_CALC_CRITERION;ADD_CALC_CRITERION;ADD_CALC_CRITERION_2;BASE_CALC_CODE
01_2025-2_08-2_6;TB;*;2;3;0;0;TB
01_2025-2_09-1_1;BANK;*;2;5;10;0;BANK
01_2025-2_09-1_1;GOSB;*;2;0;0;1;GOSB
01_2025-2_14-1_1;BANK;*;2;5;0;0;BANK
01_2025-2_14-1_1;GOSB;*;1;0.00000;0.00000;0.10000;GOSB
01_2025-2_14-1_1;TB;*;2;0;3;0;TB
01_2025-2_15-1_2;BANK;*;2;1;1;1;BANK
01_2025-2_16-1_1;BANK;*;2;5;5;5;BANK
02_2025-1_00-1;BANK;*;3;;;;
02_2025-1_07-1_1;BANK;*;2;3;0;0;BANK
02_2025-1_07-1_1;TB;*;2;0;1;2;TB
02_2025-1_07-2_1;BANK;*;2;3;0;0;BANK
02_2025-1_07-2_1;TB;*;2;0;1;2;TB
02_2025-1_07-5_1;BANK;*;3;;;;
02_2025-1_07-5_10;BANK;*;3;;;;
02_2025-1_07-5_2;BANK;*;3;;;;
02_2025-1_07-5_3;BANK;*;3;;;;
02_2025-1_07-5_4;BANK;*;2;3;0;0;BANK
02_2025-1_07-5_4;TB;*;2;0;1;2;TB
02_2025-1_07-5_5;BANK;*;2;5;0;0;BANK
02_2025-1_07-5_6;BANK;*;2;5;0;0;BANK
02_2025-1_07-5_7;BANK;*;2;5;0;0;BANK
02_2025-1_07-5_8;BANK;*;3;;;;
02_2025-1_07-5_9;BANK;*;3;;;;
02_2025-1_07-7_1;BANK;*;2;3;0;0;BANK
02_2025-1_07-7_1;TB;*;2;0;1;2;TB
02_2025-1_07-8_1;BANK;*;2;3;0;0;BANK
02_2025-1_07-8_1;TB;*;2;0;1;2;TB
02_2025-1_07-9_1;BANK;*;2;3;0;0;BANK
02_2025-1_07-9_1;TB;*;2;0;1;2;TB
02_2025-2_00-1;BANK;*;3;;;;
02_2025-2_07-1_1;BANK;*;2;3;0;0;BANK
02_2025-2_07-1_1;TB;*;2;0;1;2;TB
02_2025-2_07-2_1;BANK;*;2;3;3;0;BANK
02_2025-2_07-2_1;TB;*;2;0;0;1;TB
02_2025-2_07-5_4;BANK;*;2;3;0;0;BANK
02_2025-2_07-5_4;TB;*;2;0;1;2;TB
02_2025-2_07-7_1;BANK;*;2;3;0;0;BANK
02_2025-2_07-7_1;TB;*;2;0;1;2;TB
02_2025-2_07-8_1;BANK;*;2;3;0;0;BANK
02_2025-2_07-8_1;TB;*;2;0;1;2;TB
02_2025-2_07-9_1;BANK;*;2;3;0;0;BANK
02_2025-2_07-9_1;TB;*;2;0;1;2;TB
03_2025-0_00-1;BANK;*;3;;;;
04_2025-0_00-1;BANK;*;3;;;;
04_2025-0_15-1_1;BANK;*;2;1;2;3;BANK
04_2025-0_15-1_2;BANK;*;2;1;2;3;BANK
04_2025-0_15-1_3;BANK;*;2;1;1;1;BANK
04_2025-0_15-2_1;BANK;*;2;1;2;2;BANK
04_2025-0_15-2_2;BANK;*;2;1;2;2;BANK
04_2025-0_15-2_3;BANK;*;2;1;1;1;BANK
05_2025-0_00-1;BANK;*;3;;;;
